a_idx,date,amount,holding_party_id,counter_party_id,holding_party_country,counter_party_country,tx_type,hour,day_of_week,month,explanation,transaction_anomaly_score
727648,2019-07-11 01:43:57,1043.0,365,278283,DE,CH,credit,1,3,7,"unusual amount ($1,043), transaction at unusual hour (1:00), rare counter party country",-0.04512901799564917
727650,2019-07-11 01:43:57,1043.0,365,278283,DE,CH,credit,1,3,7,"unusual amount ($1,043), transaction at unusual hour (1:00), rare counter party country",-0.04512901799564917
15818993,2020-02-21 01:13:31,211.0,365,179417,DE,US,credit,1,4,2,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 2",-0.04471774760971514
15818991,2020-02-21 01:13:31,211.0,365,179417,DE,US,credit,1,4,2,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 2",-0.04471774760971514
11167192,2019-12-09 00:51:15,94.0,365,333101,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.04404028211902089
11167190,2019-12-09 00:51:15,94.0,365,333101,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.04404028211902089
11167017,2019-12-09 00:02:38,94.0,365,279213,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.04404028211902089
12650489,2019-12-30 00:33:50,94.0,365,277000,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.04404028211902089
13411221,2020-01-12 00:27:28,208.0,365,189216,DE,NL,credit,0,6,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.043923554952870036
4660808,2019-09-01 00:26:00,762.0,365,90162,DE,CH,credit,0,6,9,"unusual amount ($762), unusual time of day (0:00), transaction on Sunday",-0.04387082101139528
4660806,2019-09-01 00:26:00,762.0,365,90162,DE,CH,credit,0,6,9,"unusual amount ($762), unusual time of day (0:00), transaction on Sunday",-0.04387082101139528
13811642,2020-01-19 21:50:05,1403.5,365,323404,DE,CH,credit,21,6,1,"unusual amount ($1,404), unusual activity in month 1, transaction on Sunday",-0.043757422846268046
13811645,2020-01-19 21:50:05,1403.5,365,323404,DE,CH,credit,21,6,1,"unusual amount ($1,404), unusual activity in month 1, transaction on Sunday",-0.043757422846268046
12650483,2019-12-30 00:32:50,141.0,365,277000,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.043719839354198875
12650485,2019-12-30 00:32:50,141.0,365,277000,DE,US,credit,0,0,12,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.043719839354198875
727491,2019-07-11 00:33:15,1043.0,365,278283,DE,CH,credit,0,3,7,"unusual amount ($1,043), unusual time of day (0:00), rare counter party country",-0.043326504093025964
1542099,2019-07-22 01:51:21,156.0,365,341701,DE,US,credit,1,0,7,"transaction at unusual hour (1:00), rare counter party country, transaction on Monday",-0.04322794630447857
13342896,2020-01-11 06:36:23,654.0,365,195532,DE,DE,credit,6,5,1,"unusual amount ($654), unusual activity in month 1, transaction at unusual hour (6:00)",-0.04280594360362311
13342894,2020-01-11 06:36:23,654.0,365,195532,DE,DE,credit,6,5,1,"unusual amount ($654), unusual activity in month 1, transaction at unusual hour (6:00)",-0.04280594360362311
13342902,2020-01-11 06:38:04,654.0,365,195488,DE,DE,credit,6,5,1,"unusual amount ($654), unusual activity in month 1, transaction at unusual hour (6:00)",-0.04280594360362311
1499023,2019-07-21 12:56:58,900.5,365,217734,DE,NL,credit,12,6,7,"unusual amount ($900), rare counter party country, transaction on Sunday",-0.04199859118368654
13093462,2020-01-05 16:02:50,710.0,365,283277,DE,BE,credit,16,6,1,"unusual amount ($710), unusual activity in month 1, rare counter party country",-0.041033263687332955
13093460,2020-01-05 16:02:50,710.0,365,283277,DE,BE,credit,16,6,1,"unusual amount ($710), unusual activity in month 1, rare counter party country",-0.041033263687332955
11895166,2019-12-19 01:42:14,235.0,365,234471,DE,US,credit,1,3,12,"transaction at unusual hour (1:00), rare counter party country, unusual amount ($235)",-0.04094746808728367
11895164,2019-12-19 01:42:14,235.0,365,234471,DE,US,credit,1,3,12,"transaction at unusual hour (1:00), rare counter party country, unusual amount ($235)",-0.04094746808728367
1386823,2019-07-19 23:36:07,743.0,365,312108,DE,SE,credit,23,4,7,"unusual amount ($743), rare counter party country, transaction at unusual hour (23:00)",-0.040912430335079186
1386825,2019-07-19 23:36:07,743.0,365,312108,DE,SE,credit,23,4,7,"unusual amount ($743), rare counter party country, transaction at unusual hour (23:00)",-0.040912430335079186
1761968,2019-07-25 01:10:00,619.0,365,288287,DE,BE,credit,1,3,7,"transaction at unusual hour (1:00), unusual amount ($619), rare counter party country",-0.04089421746662503
1761966,2019-07-25 01:10:00,619.0,365,288287,DE,BE,credit,1,3,7,"transaction at unusual hour (1:00), unusual amount ($619), rare counter party country",-0.04089421746662503
14049090,2020-01-24 00:15:19,130.0,365,248548,DE,AT,credit,0,4,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.040816517983606526
14049088,2020-01-24 00:15:19,130.0,365,248548,DE,AT,credit,0,4,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.040816517983606526
13883666,2020-01-20 10:28:15,717.0,365,268743,DE,BE,credit,10,0,1,"unusual amount ($717), unusual activity in month 1, rare counter party country",-0.040780034299727874
13883668,2020-01-20 10:28:15,717.0,365,268743,DE,BE,credit,10,0,1,"unusual amount ($717), unusual activity in month 1, rare counter party country",-0.040780034299727874
13491599,2020-01-14 06:35:01,675.0,365,326847,DE,CH,credit,6,1,1,"unusual amount ($675), unusual activity in month 1, transaction at unusual hour (6:00)",-0.04072404072696223
14250382,2020-01-26 19:44:00,502.0,365,218264,DE,NL,credit,19,6,1,"rare counter party country, unusual amount ($502), unusual activity in month 1",-0.04063324036613414
14250384,2020-01-26 19:44:00,502.0,365,218264,DE,NL,credit,19,6,1,"rare counter party country, unusual amount ($502), unusual activity in month 1",-0.04063324036613414
14568316,2020-02-02 01:42:31,103.5,365,336685,DE,RU,credit,1,6,2,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 2",-0.04057281835547766
14568314,2020-02-02 01:42:31,103.5,365,336685,DE,RU,credit,1,6,2,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 2",-0.04057281835547766
13496483,2020-01-13 17:18:55,990.0,365,295949,DE,DE,credit,17,0,1,"unusual amount ($990), unusual activity in month 1, transaction on Monday",-0.040458032750721795
1761755,2019-07-25 00:14:15,401.0,365,184538,DE,SA,credit,0,3,7,"unusual time of day (0:00), rare counter party country, unusual amount ($401)",-0.0399183794820952
1761757,2019-07-25 00:14:15,401.0,365,184538,DE,SA,credit,0,3,7,"unusual time of day (0:00), rare counter party country, unusual amount ($401)",-0.0399183794820952
14005256,2020-01-23 01:31:21,110.0,365,276948,DE,US,credit,1,3,1,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 1",-0.03926952895401503
14005254,2020-01-23 01:31:21,110.0,365,276948,DE,US,credit,1,3,1,"transaction at unusual hour (1:00), rare counter party country, unusual activity in month 1",-0.03926952895401503
7101461,2019-10-08 02:16:03,208.0,365,336928,DE,US,credit,2,1,10,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 10",-0.039080958822156564
15871472,2020-02-22 00:05:29,22.9,365,263804,DE,AT,credit,0,5,2,"unusual time of day (0:00), rare counter party country, unusual activity in month 2",-0.03882648242578468
15082123,2020-02-09 17:05:31,1320.0,365,290743,DE,BE,credit,17,6,2,"unusual amount ($1,320), unusual activity in month 2, rare counter party country",-0.03867409165101576
2627155,2019-08-05 00:31:33,415.5,365,252280,DE,PL,credit,0,0,8,"unusual time of day (0:00), rare counter party country, unusual amount ($416)",-0.038356827866941945
2627157,2019-08-05 00:31:33,415.5,365,252280,DE,PL,credit,0,0,8,"unusual time of day (0:00), rare counter party country, unusual amount ($416)",-0.038356827866941945
9467,2019-06-30 11:29:39,476.5,365,181240,DE,SE,credit,11,6,6,"rare counter party country, unusual amount ($476), unusual activity in month 6",-0.03811536376341074
13454853,2020-01-12 12:14:00,804.0,365,206327,DE,DE,credit,12,6,1,"unusual amount ($804), unusual activity in month 1, transaction on Sunday",-0.038024823971549604
13454851,2020-01-12 12:14:00,804.0,365,206327,DE,DE,credit,12,6,1,"unusual amount ($804), unusual activity in month 1, transaction on Sunday",-0.038024823971549604
15097348,2020-02-09 12:28:39,525.0,365,96530,DE,MA,credit,12,6,2,"unusual amount ($525), rare counter party country, unusual activity in month 2",-0.03801727548291178
15098222,2020-02-09 12:45:07,525.0,365,246891,DE,MA,credit,12,6,2,"unusual amount ($525), rare counter party country, unusual activity in month 2",-0.03801727548291178
15098225,2020-02-09 12:45:07,525.0,365,246891,DE,MA,credit,12,6,2,"unusual amount ($525), rare counter party country, unusual activity in month 2",-0.03801727548291178
15097346,2020-02-09 12:28:39,525.0,365,96530,DE,MA,credit,12,6,2,"unusual amount ($525), rare counter party country, unusual activity in month 2",-0.03801727548291178
11544660,2019-12-14 10:11:33,1188.0,365,182374,DE,xk,credit,10,5,12,"unusual amount ($1,188), rare counter party country, unusual transaction type (credit/debit)",-0.0379859857334931
11544662,2019-12-14 10:11:33,1188.0,365,182374,DE,xk,credit,10,5,12,"unusual amount ($1,188), rare counter party country, unusual transaction type (credit/debit)",-0.0379859857334931
13887317,2020-01-21 03:30:48,55.0,365,276952,DE,US,credit,3,1,1,"rare counter party country, transaction at unusual hour (3:00), unusual activity in month 1",-0.03778704641093544
2144366,2019-07-30 02:04:06,477.5,365,280354,DE,BH,credit,2,1,7,"transaction at unusual hour (2:00), unusual amount ($478), rare counter party country",-0.03772535903174068
2144364,2019-07-30 02:04:06,477.5,365,280354,DE,BH,credit,2,1,7,"transaction at unusual hour (2:00), unusual amount ($478), rare counter party country",-0.03772535903174068
12055143,2019-12-21 00:09:34,235.0,365,185498,DE,US,credit,0,5,12,"unusual time of day (0:00), rare counter party country, unusual amount ($235)",-0.03738144320564696
8847528,2019-11-02 00:07:20,604.5,365,251548,DE,BE,credit,0,5,11,"unusual time of day (0:00), unusual amount ($604), rare counter party country",-0.037142458665615385
8847526,2019-11-02 00:07:20,604.5,365,251548,DE,BE,credit,0,5,11,"unusual time of day (0:00), unusual amount ($604), rare counter party country",-0.037142458665615385
13439163,2020-01-12 09:49:48,654.0,365,212113,DE,DE,credit,9,6,1,"unusual amount ($654), unusual activity in month 1, transaction on Sunday",-0.03707446631865974
13439165,2020-01-12 09:49:48,654.0,365,212113,DE,DE,credit,9,6,1,"unusual amount ($654), unusual activity in month 1, transaction on Sunday",-0.03707446631865974
1542059,2019-07-22 01:25:56,394.0,365,91519,DE,NL,credit,1,0,7,"transaction at unusual hour (1:00), rare counter party country, unusual amount ($394)",-0.03703131024697959
9759172,2019-11-17 00:05:14,94.0,365,279214,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.0369639098359239
9759174,2019-11-17 00:05:14,94.0,365,279214,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.0369639098359239
15528140,2020-02-16 18:39:15,1320.0,365,290743,DE,BE,credit,18,6,2,"unusual amount ($1,320), unusual activity in month 2, rare counter party country",-0.03688902339009792
15528377,2020-02-16 18:44:17,1320.0,365,290743,DE,BE,credit,18,6,2,"unusual amount ($1,320), unusual activity in month 2, rare counter party country",-0.03688902339009792
12963363,2020-01-03 23:33:13,453.0,365,336470,DE,RU,credit,23,4,1,"rare counter party country, unusual amount ($453), unusual activity in month 1",-0.0368794091094109
12963365,2020-01-03 23:33:13,453.0,365,336470,DE,RU,credit,23,4,1,"rare counter party country, unusual amount ($453), unusual activity in month 1",-0.0368794091094109
1478652,2019-07-20 23:49:57,520.0,365,286356,DE,US,credit,23,5,7,"unusual amount ($520), rare counter party country, transaction at unusual hour (23:00)",-0.036596938449209415
1478654,2019-07-20 23:49:57,520.0,365,286356,DE,US,credit,23,5,7,"unusual amount ($520), rare counter party country, transaction at unusual hour (23:00)",-0.036596938449209415
44675,2019-06-30 21:17:03,462.5,365,333345,DE,SE,credit,21,6,6,"rare counter party country, unusual amount ($462), unusual activity in month 6",-0.03649525344652227
44673,2019-06-30 21:17:03,462.5,365,333345,DE,SE,credit,21,6,6,"rare counter party country, unusual amount ($462), unusual activity in month 6",-0.03649525344652227
1530863,2019-07-21 19:48:02,810.0,365,186825,DE,NL,credit,19,6,7,"unusual amount ($810), rare counter party country, transaction on Sunday",-0.036312002090783224
6534541,2019-09-29 10:25:37,985.0,365,186395,DE,NL,credit,10,6,9,"unusual amount ($985), rare counter party country, transaction on Sunday",-0.036024912044340884
6534543,2019-09-29 10:25:37,985.0,365,186395,DE,NL,credit,10,6,9,"unusual amount ($985), rare counter party country, transaction on Sunday",-0.036024912044340884
12158040,2019-12-22 00:29:51,94.0,365,227944,DE,US,credit,0,6,12,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.03595824847797224
2703375,2019-08-06 00:06:17,319.0,365,246949,DE,SA,credit,0,1,8,"unusual time of day (0:00), rare counter party country, unusual amount ($319)",-0.03587030063592811
526159,2019-07-08 08:33:24,743.0,365,286758,DE,VN,credit,8,0,7,"unusual amount ($743), rare counter party country, transaction on Monday",-0.035776053413668185
1011196,2019-07-14 22:26:00,644.5,365,219054,DE,SE,credit,22,6,7,"unusual amount ($644), rare counter party country, transaction on Sunday",-0.03568106003239224
7978902,2019-10-21 00:52:36,156.0,365,96611,DE,US,credit,0,0,10,"rare counter party country, unusual time of day (0:00), transaction on Monday",-0.035397038848143825
7978905,2019-10-21 00:54:11,156.0,365,96611,DE,US,credit,0,0,10,"rare counter party country, unusual time of day (0:00), transaction on Monday",-0.035397038848143825
7978900,2019-10-21 00:52:36,156.0,365,96611,DE,US,credit,0,0,10,"rare counter party country, unusual time of day (0:00), transaction on Monday",-0.035397038848143825
9978504,2019-11-20 09:52:18,1003.5,365,248885,DE,LU,credit,9,2,11,"unusual amount ($1,004), rare counter party country, unusual activity in month 11",-0.03527946396611359
9978507,2019-11-20 09:52:18,1003.5,365,248885,DE,LU,credit,9,2,11,"unusual amount ($1,004), rare counter party country, unusual activity in month 11",-0.03527946396611359
16147806,2020-02-26 07:37:15,516.0,365,246989,DE,SA,credit,7,2,2,"unusual amount ($516), rare counter party country, unusual activity in month 2",-0.035262225507560974
8560733,2019-10-28 17:59:14,1229.5,365,111337,DE,Unknown,credit,17,0,10,"unusual amount ($1,230), rare counter party country, transaction on Monday",-0.035029037212032876
15104677,2020-02-09 21:37:59,953.5,365,210171,DE,DE,credit,21,6,2,"unusual amount ($954), unusual activity in month 2, transaction on Sunday",-0.03491916180472998
15104675,2020-02-09 21:37:59,953.5,365,210171,DE,DE,credit,21,6,2,"unusual amount ($954), unusual activity in month 2, transaction on Sunday",-0.03491916180472998
14308664,2020-01-27 22:51:50,813.0,365,227540,DE,DE,credit,22,0,1,"unusual amount ($813), unusual activity in month 1, transaction on Monday",-0.034642920751774886
47212,2019-06-30 22:13:31,364.0,365,189978,DE,SE,credit,22,6,6,"rare counter party country, unusual amount ($364), unusual activity in month 6",-0.034478054528223834
47210,2019-06-30 22:13:31,364.0,365,189978,DE,SE,credit,22,6,6,"rare counter party country, unusual amount ($364), unusual activity in month 6",-0.034478054528223834
11111145,2019-12-08 02:03:54,94.0,365,276920,DE,US,credit,2,6,12,"transaction at unusual hour (2:00), rare counter party country, transaction on Sunday",-0.03391760172419356
11111143,2019-12-08 02:03:54,94.0,365,276920,DE,US,credit,2,6,12,"transaction at unusual hour (2:00), rare counter party country, transaction on Sunday",-0.03391760172419356
11555740,2019-12-15 01:58:17,94.0,365,276914,DE,US,credit,1,6,12,"transaction at unusual hour (1:00), rare counter party country, transaction on Sunday",-0.03391760172419356
11555860,2019-12-15 02:14:55,94.0,365,276910,DE,US,credit,2,6,12,"transaction at unusual hour (2:00), rare counter party country, transaction on Sunday",-0.03391760172419356
11111220,2019-12-08 02:13:55,94.0,365,276920,DE,US,credit,2,6,12,"transaction at unusual hour (2:00), rare counter party country, transaction on Sunday",-0.03391760172419356
13228389,2020-01-08 08:49:34,1003.5,365,91180,DE,CH,credit,8,2,1,"unusual amount ($1,004), unusual activity in month 1, unusual time of day (8:00)",-0.033407531920006006
13228391,2020-01-08 08:49:34,1003.5,365,91180,DE,CH,credit,8,2,1,"unusual amount ($1,004), unusual activity in month 1, unusual time of day (8:00)",-0.033407531920006006
11895281,2019-12-19 02:52:23,94.0,365,276977,DE,US,credit,2,3,12,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 12",-0.03305128259833967
11895280,2019-12-19 02:51:33,94.0,365,276913,DE,US,credit,2,3,12,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 12",-0.03305128259833967
11895200,2019-12-19 02:03:44,94.0,365,179343,DE,US,credit,2,3,12,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 12",-0.03305128259833967
11895278,2019-12-19 02:51:33,94.0,365,276913,DE,US,credit,2,3,12,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 12",-0.03305128259833967
2594279,2019-08-04 14:51:22,867.5,365,217803,DE,NL,credit,14,6,8,"unusual amount ($868), rare counter party country, transaction on Sunday",-0.0327685384379548
9344598,2019-11-10 00:46:02,47.0,365,287066,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.03272502889545459
9343923,2019-11-10 00:04:04,47.0,365,277035,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.03272502889545459
9344345,2019-11-10 00:29:50,47.0,365,287077,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.03272502889545459
9344461,2019-11-10 00:37:01,47.0,365,277035,DE,US,credit,0,6,11,"unusual time of day (0:00), rare counter party country, transaction on Sunday",-0.03272502889545459
3530603,2019-08-16 14:41:04,1003.5,365,340463,DE,US,credit,14,4,8,"unusual amount ($1,004), rare counter party country, unusual transaction type (credit/debit)",-0.03267361647277056
3530606,2019-08-16 14:41:04,1003.5,365,340463,DE,US,credit,14,4,8,"unusual amount ($1,004), rare counter party country, unusual transaction type (credit/debit)",-0.03267361647277056
16172986,2020-02-26 13:48:41,1040.0,365,230931,DE,BE,credit,13,2,2,"unusual amount ($1,040), unusual activity in month 2, rare counter party country",-0.03258293936343015
6289330,2019-09-25 23:45:47,772.0,365,341564,DE,PT,credit,23,2,9,"unusual amount ($772), rare counter party country, transaction at unusual hour (23:00)",-0.03192904381682715
10241973,2019-11-24 01:42:00,47.0,365,277057,DE,US,credit,1,6,11,"transaction at unusual hour (1:00), rare counter party country, transaction on Sunday",-0.03183993555346776
5409683,2019-09-13 02:05:25,260.0,365,179094,DE,US,credit,2,4,9,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($260)",-0.031775070550743245
